season,week,team,pick_pct,win_prob,expected_value
2019,4,WAS,0,0.385,0.56
2019,5,ARI,0.004,0.396,0.54
2019,5,ATL,0,0.345,0.48
2019,5,BAL,0.006,0.618,0.84
2019,5,BUF,0.003,0.37799999999999995,0.52
2019,5,CAR,0.003,0.627,0.85
2019,5,CHI,0.045,0.7090000000000001,0.94
2019,5,CIN,0.004,0.604,0.83
2019,5,CLE,0.001,0.33799999999999997,0.46
2019,5,DAL,0.001,0.622,0.85
2019,5,DEN,0,0.325,0.46
2019,5,DET,NA,NA,NA
2019,5,GB,0,0.37799999999999995,0.52
2019,5,HOU,0.012,0.655,0.89
2019,5,IND,0,0.17800000000000002,0.34
2019,5,JAX,0.001,0.373,0.51
2019,5,KC,0.22,0.8220000000000001,1.03
2019,5,LAC,0.028999999999999998,0.675,0.91
2019,5,LAR,0.001,0.46399999999999997,0.63
2019,5,MIA,NA,NA,NA
2019,5,MIN,0.025,0.677,0.91
2019,5,NE,0.156,0.87,1.13
2019,5,NO,0.011000000000000001,0.594,0.8
2019,5,NYG,0,0.32299999999999995,0.46
2019,5,NYJ,0,0.141,0.38
2019,5,OAK,0,0.29100000000000004,0.42
2019,5,PHI,0.461,0.8590000000000001,0.99
2019,5,PIT,0,0.382,0.53
2019,5,SEA,0.001,0.536,0.73
2019,5,SF,0.006999999999999999,0.662,0.9
2019,5,TB,0,0.406,0.56
2019,5,TEN,0.005,0.622,0.85
2019,5,WAS,0,0.13,0.23
2019,6,ARI,0.001,0.41600000000000004,0.62
2019,6,ATL,0.02,0.584,0.84
2019,6,BAL,0.33899999999999997,0.8140000000000001,1.03
2019,6,BUF,NA,NA,NA
2019,6,CAR,0.003,0.5379999999999999,0.78
2019,6,CHI,NA,NA,NA
2019,6,CIN,0,0.18600000000000003,0.43
2019,6,CLE,0.001,0.514,0.78
2019,6,DAL,0.132,0.74,1.01
2019,6,DEN,0.004,0.512,0.74
2019,6,DET,0,0.373,0.6
2019,6,GB,0.098,0.627,0.85
2019,6,HOU,0,0.363,0.55
2019,6,IND,NA,NA,NA
2019,6,JAX,0.003,0.57,0.84
2019,6,KC,0.042,0.637,0.9
2019,6,LAC,0.038,0.6970000000000001,0.99
2019,6,LAR,0.011000000000000001,0.61,0.88
2019,6,MIA,0.003,0.316,0.48
2019,6,MIN,0.004,0.627,0.91
2019,6,NE,0.185,0.8859999999999999,1.23
2019,6,NO,0.021,0.43,0.61
2019,6,NYG,0,0.114,0.23
2019,6,NYJ,0,0.26,0.45
2019,6,OAK,NA,NA,NA
2019,6,PHI,0.001,0.373,0.55
2019,6,PIT,0,0.303,0.46
2019,6,SEA,0.045,0.486,0.68
