season,week,date,team1,team2,elo_team1,elo_team2,prob_team1,prob_team2
2019,1,2019-09-05,CHI,GB,1588.89793144843,1455.13136993533,0.7584485193045968,0.24155148069540322
2019,1,2019-09-08,NYJ,BUF,1384.96644235941,1448.42368150679,0.5022201967461954,0.49777980325380455
2019,1,2019-09-08,MIA,BAL,1415.17876187059,1570.53924891259,0.37281557491111966,0.6271844250888803
2019,1,2019-09-08,MIN,ATL,1538.42395425995,1520.31582461035,0.6173720777976055,0.3826279222023945
2019,1,2019-09-08,CLE,TEN,1455.88640137805,1518.90720352913,0.5028482638546541,0.4971517361453459
2019,1,2019-09-08,PHI,WAS,1581.51355925233,1441.02179176339,0.7654698543324963,0.23453014566750374
2019,1,2019-09-08,CAR,LAR,1519.37877240763,1598.01566621671,0.4803850039945628,0.5196149960054373
2019,1,2019-09-08,JAX,KC,1455.24907275187,1602.07742712331,0.38436967604805045,0.6156303239519496
2019,1,2019-09-08,SEA,CIN,1565.41164859357,1428.5335151433,0.7617148036094071,0.23828519639059287
2019,1,2019-09-08,LAC,IND,1585.75191800581,1561.07456529967,0.6262644674526644,0.3737355325473356
2019,1,2019-09-08,DAL,NYG,1546.63760540507,1442.7255357616,0.7255848739644275,0.2744151260355725
2019,1,2019-09-08,TB,SF,1444.77266859125,1422.63182461207,0.622840671248458,0.377159328751542
2019,1,2019-09-08,ARI,DET,1383.74042223536,1490.51940926969,0.44016333887878134,0.5598366611212187
2019,1,2019-09-08,NE,PIT,1640.85648810958,1572.19321967273,0.6833970641922035,0.3166029358077965
2019,1,2019-09-09,NO,HOU,1610.93660317005,1515.38853097227,0.7158948727512396,0.28410512724876036
2019,1,2019-09-09,OAK,DEN,1405.44061778861,1449.16419458668,0.5305810160650128,0.46941898393498716
2019,2,2019-09-12,CAR,TB,1506.14172298054,1409.64771139295,0.7170010787278287,0.2829989212721713
2019,2,2019-09-15,BAL,ARI,1598.55771020712,1385.56534920517,0.8320536957330441,0.1679463042669559
2019,2,2019-09-15,WAS,DAL,1433.33531739672,1561.64531234901,0.4098848002257198,0.5901151997742802
