season,week,team,pick_pct,win_prob,expected_value
2019,1,IND,0,0.292,0.48
2019,1,JAX,0,0.365,0.55
2019,1,KC,0.027000000000000003,0.635,0.92
2019,1,LAC,0.099,0.708,0.99
2019,1,LAR,0.006999999999999999,0.537,0.79
2019,1,MIA,0.001,0.262,0.45
2019,1,MIN,0.006999999999999999,0.633,0.93
2019,1,NE,0.009000000000000001,0.684,1
2019,1,NO,0.036000000000000004,0.731,1.06
2019,1,NYG,0.001,0.264,0.42
2019,1,NYJ,0.021,0.569,0.82
2019,1,OAK,0.005,0.41200000000000003,0.61
2019,1,PHI,0.21600000000000003,0.7979999999999999,1.07
2019,1,PIT,0,0.316,0.47
2019,1,SEA,0.275,0.7809999999999999,1.01
2019,1,SF,0.003,0.484,0.71
2019,1,TB,0.006999999999999999,0.516,0.76
2019,1,TEN,0.001,0.312,0.48
2019,1,WAS,0,0.20199999999999999,0.4
2019,2,ARI,0,0.163,0.31
2019,2,ATL,0.001,0.479,0.64
2019,2,BAL,0.256,0.8370000000000001,1.04
2019,2,BUF,0.005,0.517,0.69
2019,2,CAR,0.099,0.715,0.92
2019,2,CHI,0.006999999999999999,0.586,0.78
2019,2,CIN,0.006999999999999999,0.509,0.68
2019,2,CLE,0.038,0.726,0.96
2019,2,DAL,0.04,0.6940000000000001,0.91
2019,2,DEN,0.001,0.414,0.56
2019,2,DET,0.001,0.478,0.65
2019,2,GB,0.002,0.596,0.8
2019,2,HOU,0.16,0.748,0.94
2019,2,IND,0,0.385,0.53
2019,2,JAX,0,0.252,0.41
2019,2,KC,0.042,0.722,0.95
2019,2,LAC,0.01,0.522,0.7
2019,2,LAR,0.001,0.536,0.72
2019,2,MIA,0,0.10400000000000001,0.22
2019,2,MIN,0.001,0.40399999999999997,0.54
2019,2,NE,0.29100000000000004,0.8959999999999999,1.13
2019,2,NO,0.001,0.46399999999999997,0.62
2019,2,NYG,0.004,0.483,0.65
2019,2,NYJ,0.001,0.27399999999999997,0.38
2019,2,OAK,0,0.278,0.39
2019,2,PHI,0.003,0.521,0.7
2019,2,PIT,0.006,0.642,0.86
2019,2,SEA,0.001,0.358,0.48
2019,2,SF,0.002,0.491,0.66
2019,2,TB,0,0.285,0.43
2019,2,TEN,0.02,0.615,0.82
2019,2,WAS,0,0.306,0.43
