date,season,team1,team2,elo_team1,elo_team2,prob_team1,prob_team2
11/25/1920,1920,AKR,CBD,1602.871,1571.135,0.635725041,0.364274959
11/28/1920,1920,CHT,THO,1287.638,1307.111,0.565146176,0.434853824
11/28/1920,1920,DHR,LAN,1439.909,1292.402,0.772641769,0.227358231
11/28/1920,1920,ROS,RCH,1289.71,1441.473,0.377670405,0.622329595
11/28/1920,1920,DAY,AKR,1571.78,1617.382,0.527886996,0.472113004
11/28/1920,1920,BFF,CTI,1549.69,1443.913,0.727717231,0.272282769
11/28/1920,1920,ARI,CHI,1532.273,1542.54,0.578121934,0.421878066
11/28/1920,1920,RII,WJA,1496.08,1300,0.818006199,0.181993801
12/4/1920,1920,BFF,CBD,1560.198,1556.623,0.597425504,0.402574496
12/5/1920,1920,ROS,RCH,1284.673,1446.51,0.364140329,0.635859671
12/5/1920,1920,BFF,AKR,1572.764,1646.228,0.487821734,0.512178266
12/5/1920,1920,DHR,DTM,1431.594,1300,0.756149917,0.243850083
12/5/1920,1920,WGC,CBD,1300,1544.056,0.26294276,0.73705724
12/5/1920,1920,ARI,CHI,1537.98,1536.833,0.594059465,0.405940535
12/5/1920,1920,COL,CWP,1396.597,1300,0.717121359,0.282878641
12/11/1920,1920,UAP,CBD,1300,1536.826,0.271087912,0.728912088
12/12/1920,1920,CHI,AKR,1566.206,1645.856,0.478929441,0.521070559
12/18/1920,1920,RIC,CBD,1300,1506.055,0.307469188,0.692530812
12/19/1920,1920,CST,ARI,1300,1508.607,0.304349992,0.695650008
9/25/1921,1921,AKR,COL,1598.476,1444.042,0.779570231,0.220429769
10/2/1921,1921,RII,DTI,1507.161,1300,0.827310466,0.172689534
10/2/1921,1921,BFF,HAM,1550.424,1411.544,0.763800099,0.236199901
10/2/1921,1921,ARI,MNN,1503.427,1504.688,0.5907124,0.4092876
10/2/1921,1921,DAY,COL,1530.29,1433.186,0.717713031,0.282286969
10/2/1921,1921,AKR,CCL,1609.332,1502.63,0.728771018,0.271228982
10/2/1921,1921,ECG,LOU,1300,1413.889,0.43010379,0.56989621
10/9/1921,1921,ARI,AKR,1527.647,1628.139,0.449099839,0.550900161
10/9/1921,1921,BFF,COL,1562.92,1415.301,0.772755005,0.227244995
10/9/1921,1921,ECG,MUN,1336.032,1469.651,0.402513581,0.597486419
10/9/1921,1921,DTI,DAY,1309.982,1548.174,0.269536924,0.730463076
10/9/1921,1921,CBD,HAM,1519.915,1399.048,0.744584832,0.255415168
10/10/1921,1921,CHI,RII,1546.233,1497.179,0.658484429,0.341515571
10/16/1921,1921,MUN,CCL,1436.249,1483.823,0.525057022,0.474942978
10/16/1921,1921,CTI,COL,1457.27,1400.118,0.668888773,0.331111227
10/16/1921,1921,CHI,RCH,1556.684,1463.244,0.713420282,0.286579718
10/16/1921,1921,ECG,HAM,1369.434,1406.508,0.540102421,0.459897579
10/16/1921,1921,BFF,NG1,1578.103,1300,0.87815353,0.12184647
10/16/1921,1921,DTI,AKR,1331.966,1656.231,0.183554384,0.816445616
10/16/1921,1921,DAY,CBD,1526.191,1512.456,0.61140813,0.38859187
10/16/1921,1921,ARI,RII,1499.555,1486.728,0.610165567,0.389834433
10/23/1921,1921,ARI,COL,1473.248,1379.44,0.713853192,0.286146808
10/23/1921,1921,CHI,DAY,1564.096,1522.793,0.648380766,0.351619234
10/23/1921,1921,GB,MNN,1413.889,1480.468,0.497727652,0.502272348
10/23/1921,1921,DTI,RII,1321.967,1513.034,0.326139044,0.673860956
10/23/1921,1921,CBD,AKR,1515.853,1666.229,0.379548803,0.620451197
10/23/1921,1921,CTI,CCL,1477.948,1512.487,0.543724927,0.456275073
10/23/1921,1921,BFF,RCH,1586.589,1455.832,0.755260413,0.244739587
10/30/1921,1921,BFF,DTI,1601.725,1305.261,0.889018453,0.110981547
10/30/1921,1921,AKR,RCH,1676.36,1440.697,0.849509013,0.150490987
10/30/1921,1921,GB,RII,1420.857,1529.741,0.437179567,0.562820433
10/30/1921,1921,DAY,CTI,1508.844,1508.256,0.593283234,0.406716766
10/30/1921,1921,MNN,COL,1473.5,1366.177,0.729477042,0.270522958
11/6/1921,1921,BFF,CTI,1607.617,1502.781,0.726642591,0.273357409
11/6/1921,1921,RII,MNN,1550.297,1490.395,0.672385386,0.327614614
11/6/1921,1921,CBD,DAY,1505.723,1514.319,0.580466211,0.419533789
11/6/1921,1921,ARI,HAM,1486.511,1421.675,0.678611057,0.321388943
11/6/1921,1921,CHI,DTI,1578.045,1299.368,0.878506639,0.121493361
11/6/1921,1921,GB,ECG,1400.301,1354.267,0.65456425,0.34543575
11/6/1921,1921,COL,AKR,1349.282,1684.292,0.174465722,0.825534278
11/6/1921,1921,RCH,TON,1432.764,1478.004,0.528406304,0.471593696
11/13/1921,1921,BFF,AKR,1615.786,1693.899,0.481137831,0.518862169
11/13/1921,1921,CTI,CBD,1494.613,1527.878,0.545543748,0.454456252
11/13/1921,1921,DAY,DTI,1492.164,1294.146,0.819661131,0.180338869
11/13/1921,1921,GB,HAM,1424.224,1409.054,0.613368918,0.386631082
11/13/1921,1921,CHI,RII,1583.267,1565.704,0.616630531,0.383369469
11/20/1921,1921,CHI,CTI,1593.512,1471.592,0.745735898,0.254264102
11/20/1921,1921,ARI,GB,1499.133,1439.739,0.671740891,0.328259109
11/20/1921,1921,BFF,CBD,1616.361,1550.898,0.679397731,0.320602269
11/20/1921,1921,DAY,AKR,1502.9,1693.323,0.3269543,0.6730457
11/20/1921,1921,RCH,COL,1468.554,1339.675,0.753256642,0.246743358
11/24/1921,1921,AKR,CBD,1673.534,1556.37,0.740509867,0.259490133
11/24/1921,1921,CHI,BFF,1606.507,1610.89,0.586360387,0.413639613
11/27/1921,1921,SEN,CBD,1300,1600.097,0.205326961,0.794673039
11/27/1921,1921,CHI,GB,1598.148,1444.976,0.778319334,0.221680666
11/27/1921,1921,ECG,CCL,1330.343,1482.179,0.377571643,0.622428357
11/27/1921,1921,BFF,DAY,1619.249,1522.689,0.71707815,0.28292185
12/3/1921,1921,NG1,CTI,1291.514,1458.597,0.357177223,0.642822777
12/3/1921,1921,BFF,AKR,1630.21,1629.807,0.593026239,0.406973761
12/4/1921,1921,CHI,BFF,1610.429,1651.616,0.5342161,0.4657839
12/4/1921,1921,LOU,COL,1377.857,1327.393,0.66030736,0.33969264
12/4/1921,1921,ARI,AKR,1493.895,1608.401,0.429233424,0.570766576
12/11/1921,1921,CHI,CBD,1623.205,1610.384,0.610157352,0.389842648
12/11/1921,1921,SEN,CTI,1289.713,1478.329,0.329247405,0.670752595
12/18/1921,1921,CHI,ARI,1641.262,1476.436,0.789677871,0.210322129
12/18/1921,1921,SEN,CBD,1319.27,1592.326,0.231890574,0.768109426
10/1/1922,1922,RII,GB,1538.64,1456.797,0.699579495,0.300420505
10/1/1922,1922,CBD,LOU,1570.867,1402.157,0.793367207,0.206632793
10/1/1922,1922,ARI,MIL,1491.847,1300,0.814350471,0.185649529
10/1/1922,1922,DAY,OOR,1509.485,1300,0.829213394,0.170786606
10/1/1922,1922,RAC,CHI,1493.002,1589.952,0.454149427,0.545850573
10/1/1922,1922,AKR,COL,1585.573,1404.677,0.804630599,0.195369401
10/1/1922,1922,TOL,ECG,1504.938,1422.188,0.700675661,0.299324339
10/1/1922,1922,BFF,HAM,1594.227,1430.693,0.788439965,0.211560035
10/8/1922,1922,DAY,CBD,1520.451,1584.553,0.501292323,0.498707677
10/8/1922,1922,RII,CHI,1548.732,1607.373,0.509150315,0.490849685
10/8/1922,1922,OOR,COL,1289.034,1391.986,0.445598885,0.554401115
10/8/1922,1922,TOL,MIL,1520.492,1295.391,0.841569901,0.158430099
10/8/1922,1922,GB,RAC,1446.705,1475.58,0.551801513,0.448198487
10/12/1922,1922,AKR,RCH,1598.264,1488.89,0.731800618,0.268199382
10/15/1922,1922,CHI,RCH,1623.81,1495.96,0.752154062,0.247845938
10/15/1922,1922,DAY,MNN,1520.411,1484.992,0.640620483,0.359379517
10/15/1922,1922,CBD,OOR,1584.593,1319.588,0.869853208,0.130146792
10/15/1922,1922,MIL,RAC,1305.808,1493.638,0.330247401,0.669752599
10/15/1922,1922,BFF,COL,1602.197,1361.432,0.853225293,0.146774707
10/15/1922,1922,TOL,HAM,1510.074,1422.723,0.706200754,0.293799246
10/15/1922,1922,RII,ECG,1532.295,1406.634,0.749797568,0.250202432
10/15/1922,1922,ARI,GB,1496.457,1428.647,0.682333362,0.317666638
10/22/1922,1922,ARI,MNN,1512.269,1465.124,0.656008887,0.343991113
10/22/1922,1922,RAC,TOL,1450.445,1524.956,0.486315989,0.513684011
10/22/1922,1922,CHI,BFF,1633.287,1609.918,0.624499999,0.375500001
10/22/1922,1922,DAY,HAM,1540.279,1407.841,0.757044638,0.242955362
10/22/1922,1922,AKR,CBD,1591.194,1590.722,0.593122097,0.406877903
10/22/1922,1922,MIL,GB,1349.001,1412.835,0.501678003,0.498321997
10/22/1922,1922,RII,RCH,1551.226,1486.483,0.678494287,0.321505713
10/29/1922,1922,DAY,BFF,1553.854,1594.904,0.53441233,0.46558767
10/29/1922,1922,CHI,CBD,1648.3,1629.058,0.618912744,0.381087256
10/29/1922,1922,GB,RII,1412.886,1571.238,0.368797898,0.631202102
10/29/1922,1922,MIL,HAM,1348.95,1394.265,0.528298718,0.471701282
10/29/1922,1922,RAC,RCH,1430.307,1466.471,0.541403315,0.458596685
10/29/1922,1922,TOL,LOU,1545.095,1388.471,0.781728927,0.218271073
10/29/1922,1922,AKR,OOR,1552.859,1313.459,0.852238541,0.147761459
10/29/1922,1922,ARI,COL,1521.344,1353.711,0.792349005,0.207650995
11/5/1922,1922,CHI,DAY,1639.378,1531.384,0.73023861,0.26976139
11/5/1922,1922,AKR,HAM,1563.615,1395.128,0.793156685,0.206843315
11/5/1922,1922,CBD,TOL,1637.979,1559.724,0.695220833,0.304779167
11/5/1922,1922,RAC,LOU,1451.153,1373.841,0.69406941,0.30593059
11/5/1922,1922,MNN,OOR,1456.049,1302.703,0.778492104,0.221507896
11/5/1922,1922,ARI,BFF,1534.361,1617.375,0.474098976,0.525901024
11/5/1922,1922,GB,COL,1416.887,1340.694,0.692699938,0.307300062
11/11/1922,1922,RAC,COL,1474.488,1332.688,0.766819122,0.233180878
11/12/1922,1922,CBD,BFF,1632.025,1605.724,0.628449481,0.371550519
11/12/1922,1922,RII,DAY,1567.237,1519.867,0.656301105,0.343698895
11/12/1922,1922,LOU,ECG,1350.506,1387.704,0.539925113,0.460074887
11/12/1922,1922,GB,MNN,1424.894,1464.43,0.536580167,0.463419833
11/12/1922,1922,ARI,AKR,1546.011,1575.341,0.551153656,0.448846344
11/12/1922,1922,CHI,OOR,1650.896,1294.323,0.918845949,0.081154051
11/19/1922,1922,CHI,RII,1655.435,1591.985,0.676868497,0.323131503
11/19/1922,1922,RAC,GB,1489.644,1445.025,0.652720184,0.347279816
11/19/1922,1922,BFF,AKR,1595.833,1556.972,0.645169297,0.354830703
11/19/1922,1922,ARI,CBD,1564.38,1641.916,0.481967071,0.518032929
11/19/1922,1922,MIL,OOR,1348.087,1289.784,0.670354562,0.329645438
11/26/1922,1922,CBD,ARI,1661.847,1544.45,0.740767512,0.259232488
11/26/1922,1922,RAC,HAM,1484.986,1383.402,0.722908441,0.277091559
11/26/1922,1922,GB,MIL,1449.683,1364.563,0.703529103,0.296470897
11/26/1922,1922,BFF,OOR,1591.406,1273.308,0.900723493,0.099276507
11/26/1922,1922,CHI,AKR,1663.899,1561.399,0.723963427,0.276036573
11/26/1922,1922,TOL,COL,1565.678,1317.532,0.85846675,0.14153325
11/30/1922,1922,COL,OOR,1315.814,1329.257,0.573656628,0.426343372
11/30/1922,1922,RCH,BFF,1445.625,1535.457,0.464324605,0.535675395
11/30/1922,1922,ARI,CHI,1530.611,1676.201,0.386057884,0.613942116
11/30/1922,1922,CBD,AKR,1675.686,1549.098,0.750797318,0.249202682
11/30/1922,1922,RAC,MIL,1495.011,1349.914,0.770195521,0.229804479
12/3/1922,1922,BFF,AKR,1563.841,1536.682,0.629602018,0.370397982
12/3/1922,1922,ARI,DAY,1555.413,1495.119,0.672882269,0.327117731
12/3/1922,1922,CHI,TOL,1651.399,1567.396,0.702186213,0.297813787
12/3/1922,1922,RAC,GB,1500.827,1464.332,0.642045246,0.357954754
12/3/1922,1922,CBD,MIL,1688.101,1344.098,0.913284162,0.086715838
12/10/1922,1922,TOL,CBD,1549.905,1693.301,0.38905561,0.61094439
